employee_id,full_name,gender,age,hire_date,department_id,job_role_id,salary_egp,manager_id,commute_distance_km,commute_category,status,end_date,tenure_years,phone_number,total_working_years,years_since_last_promotion,overtime,leave_balance,role_fit_score
EMP-0179,Nihal Barakat,Female,45,2023-09-01,8,22,10800,EMP-0028,12.2,Medium,Active,,2.34,01574855088,16,0,Yes,10,80.0
EMP-0180,Youssef Fathy,Male,28,2024-09-29,4,13,13900,EMP-0028,27.1,Far,Inactive,2025-09-29,1.0,01124314759,3,1,No,13,54.2
EMP-0181,Ashraf Barakat,Male,46,2025-06-13,1,4,18900,EMP-0130,52.3,Far,Active,,0.55,01141837210,12,0,No,17,55.0
EMP-0182,Amr Barakat,Male,41,2024-10-23,6,19,37700,EMP-0073,7.8,Near,Active,,1.19,01061185849,12,0,No,20,49.2
EMP-0183,Samar Hassan,Female,23,2024-10-26,1,6,26100,EMP-0154,23.8,Medium,Active,,1.18,01286762164,2,1,No,20,59.2
EMP-0184,Aya Radwan,Female,28,2025-04-27,1,6,17200,EMP-0073,19.8,Medium,Inactive,2025-11-13,0.55,01558178682,5,0,No,4,52.5
EMP-0185,Ashraf Gaber,Male,27,2025-06-11,1,1,12300,EMP-0150,12.1,Medium,Inactive,2025-10-21,0.36,01187149951,3,0,Yes,15,75.0
EMP-0186,Wael Hafez,Male,38,2024-10-06,3,11,8600,EMP-0171,41.6,Far,Active,,1.24,01549711319,8,0,No,19,46.7
EMP-0187,Samar Shalaby,Female,46,2024-12-10,2,10,15900,EMP-0158,3.9,Near,Active,,1.06,01049625201,17,0,Yes,4,50.0
EMP-0188,Amr Fouad,Male,46,2025-05-27,1,7,10800,EMP-0137,2.5,Near,Inactive,2025-10-02,0.35,01112944682,15,0,Yes,2,67.5
EMP-0189,Mostafa Gaber,Male,23,2025-06-01,7,20,10400,EMP-0052,26.0,Far,Active,,0.59,01098346110,1,0,Yes,11,54.2
EMP-0190,Khaled Fathy,Male,24,2025-01-03,1,3,15200,EMP-0137,8.5,Near,Active,,0.99,01563124147,3,0,No,0,72.5
EMP-0191,Ibrahim Tawfik,Male,26,2024-06-07,1,6,23200,EMP-0171,25.4,Far,Active,,1.57,01046840133,2,0,No,20,50.8
EMP-0192,Mai Magdy,Female,26,2025-01-07,1,6,22600,EMP-0143,30.1,Far,Active,,0.98,01511086890,4,0,Yes,8,42.5
EMP-0193,Mariam Shawky,Female,22,2025-04-02,1,2,27800,EMP-0029,1.8,Near,Active,,0.75,01085957706,1,0,No,8,35.0
EMP-0194,Hossam Sabry,Male,29,2024-12-27,2,9,25300,EMP-0134,28.9,Far,Inactive,2025-09-13,0.71,01516582607,3,0,No,3,36.6
EMP-0195,Wael Tawfik,Male,33,2025-03-05,4,15,15900,EMP-0057,8.7,Near,Active,,0.83,01291390501,4,0,Yes,2,45.8
EMP-0196,Hany Kamal,Male,45,2024-07-18,2,10,16100,EMP-0143,10.3,Medium,Active,,1.46,01076669607,22,0,No,16,47.5
EMP-0197,Sahar Ragab,Female,25,2023-04-19,1,3,19200,EMP-0004,13.8,Medium,Active,,2.71,01048412328,3,1,No,1,100.0
EMP-0198,Rania Hassan,Female,34,2024-04-25,1,7,14700,EMP-0194,34.9,Far,Active,,1.69,01240885967,7,0,No,0,82.5
EMP-0199,Mai Nasr,Female,44,2024-05-29,1,1,13400,EMP-0032,1.3,Near,Active,,1.59,01291478884,20,0,No,7,100.0
EMP-0200,Yasmin Fouad,Female,36,2024-10-04,7,20,8700,EMP-0139,9.4,Near,Active,,1.24,01057287718,3,1,Yes,12,55.8
